"UT","DI","AU","TI","PY","coder","sample_size_orig","sample_size_BA","sample_size_PhD","sample_size_final","matches_orig_BA","matches_orig_PhD","matches_BA_PhD","matches_all","irr_resolver","irr_resolver_comment"
"WOS:000208863700015","10.3389/fpsyg.2011.00003","Kret, ME; Pichon, S; Grezes, J; de Gelder, B","Men fear other men most: gender specific brain activations in perceiving threat from dynamic faces and bodies - an fMRI study",2011,"EJ",25,26,26,25,0,0,1,0,"PI","Seems coder BA and PhD missed a subtle reference to an excluded subject that was not mentioned along with the other exclusions. From the paper: One male participant pressed the same button for all stimuli and was excluded from analysis. "
"WOS:000209276900024","10.1016/j.nicl.2013.08.010","Maurage, P; Bestelmeyer, PEG; Rouger, J; Charest, I; Belin, P","Binge drinking influences the cerebral processing of vocal affective bursts in young adults",2013,"RvB",24,24,24,24,1,1,1,1,"PI",""
"WOS:000209702500005","10.1016/j.jadohealth.2013.12.035","Falk, EB; Cascio, CN; O'Donnell, MB; Carp, J; Tinney, FJ; Bingham, CR; Shope, JT; Ouimet, MC; Pradhan, AK; Simons-Morton, BG","Neural Responses to Exclusion Predict Susceptibility to Social Influence",2014,"GM",36,36,36,36,1,1,1,1,"PI",""
"WOS:000263162600004","10.1093/cercor/bhn104","Hennenlotter, A; Dresel, C; Castrop, F; Baumann, AOC; Wohlschlager, AM; Haslinger, B","The Link between Facial Feedback and Neural Activity within Central Circuitries of Emotion-025EFNew Insights from Botulinum Toxin-Induced Denervation of Frown Muscles",2009,"JvB",35,38,38,38,0,0,1,0,"PI","Behavioral data from 3/38 subjects excluded, but 38 subjects had fMRI data."
"WOS:000263815300007","10.1016/j.neuropsychologia.2008.09.023","Chiao, JY; Harada, T; Oby, ER; Li, Z; Parrish, T; Bridge, DJ","Neural representations of social status hierarchy in human inferior parietal cortex",2009,"GM",12,12,12,12,1,1,1,1,"PI",""
"WOS:000264387100007","10.1192/bjp.bp.108.053199","Fullam, RS; Mckie, S; Dolan, MC","Psychopathic traits and deception: functional magnetic resonance imaging study",2009,"RvB",24,24,24,24,1,1,1,1,"PI",""
"WOS:000264696300019","10.1002/hbm.20591","Meda, SA; Calhoun, VD; Astur, RS; Turner, BM; Ruopp, K; Pearlson, GD","Alcohol Dose Effects on Brain Circuits During Simulated Driving: An fMRI Study",2009,"TN",40,40,40,40,1,1,1,1,"PI",""
"WOS:000264790600015","10.1073/pnas.0901490106","Weber, B; Rangel, A; Wibral, M; Falk, A","The medial prefrontal cortex exhibits money illusion",2009,"JvB",18,22,18,18,0,1,0,0,"PI","Seems like coder BA forgot to exclude the head-motion cases from their sample size. From paper: Two subjects had to be excluded from the analysis because of scanner dysfunction and 4 because of excessive head movement"
"WOS:000265895400004","10.1080/17470910802553565","Volz, KG; Kessler, T; von Cramon, DY","In-group as part of the self: In-group favoritism is mediated by medial prefrontal cortex activation",2009,"JvB",20,20,16,16,1,0,0,0,"PI","n=20 initially, but quote from paper: Since identification with the in-group is a prerequisite for social identity processes to occur and therewith crucial for the interpretation of our data, we excluded the four low identifiers from all fMRI analyses."
"WOS:000268429400001","10.1016/j.neulet.2009.06.023","Osaka, N; Osaka, M","Gaze-related mimic word activates the frontal eye field and related network in the human brain: An fMRI study",2009,"RvB",20,20,20,20,1,1,1,1,"PI",""
"WOS:000268698700029","10.1002/hbm.20699","Sugiura, M; Wakusawa, K; Sekiguchi, A; Sassa, Y; Jeong, H; Horie, K; Sato, S; Kawashima, R","Extraction of Situational Meaning by Integrating Multiple Meanings in a Complex Environment: A Functional MRI Study",2009,"RvB",32,41,32,32,0,1,0,0,"PI","n=41 participated, but from paper:  data from 32
subjects (27 males, 5 females) were analyzed."
"WOS:000269035100083","10.1016/j.neuroimage.2009.05.011","Amting, JM; Miller, JE; Chow, M; Mitchell, DGV","Getting mixed messages: The impact of conflicting social signals on the brain's target emotional response",2009,"EJ",14,15,15,15,0,0,1,0,"PI","1/15 subjects was excluded as an outlier during one correlation analysis, but otherwise all 15 subjects seem to have been used."
"WOS:000269035100093","10.1016/j.neuroimage.2009.06.010","Kokal, I; Gazzola, V; Keysers, C","Acting together in and beyond the mirror neuron system",2009,"EJ",18,18,18,18,1,1,1,1,"PI",""
"WOS:000269360700010","10.1016/j.brainres.2009.05.075","Trautmann, SA; Fehr, T; Herrmann, M","Emotions in motion: Dynamic compared to static facial expressions of disgust and happiness reveal more widespread emotion-specific activations",2009,"EH",16,16,16,16,1,1,1,1,"PI",""
"WOS:000270741300003","10.1162/jocn.2008.21161","Tesink, CMJY; Petersson, KM; van Berkum, JJA; van den Brink, D; Buitelaar, JK; Hagoort, P","Unification of Speaker and Meaning in Language Comprehension: An fMRI Study",2009,"RvB",42,42,42,42,1,1,1,1,"PI",""
"WOS:000271245500010","10.1037/a0016615","DeYoung, CG; Shamosh, NA; Green, AE; Braver, TS; Gray, JR","Intellect as Distinct From Openness: Differences Revealed by fMRI of Working Memory",2009,"TN",104,104,104,104,1,1,1,1,"PI",""
"WOS:000274948400038","10.1016/j.neuroimage.2009.12.098","Rameson, LT; Satpute, AB; Lieberman, MD","The neural correlates of implicit and explicit self-relevant processing",2010,"RvB",17,17,17,17,1,1,1,1,"PI",""
"WOS:000277749000007","10.1080/17470910903315989","Regenbogen, C; Herrmann, M; Fehr, T","The neural processing of voluntary completed, real and virtual violent and nonviolent computer game scenarios displaying predefined actions in gamers and nongamers",2010,"JvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000278637700040","10.1016/j.neuroimage.2010.04.025","Stanley, J; Gowen, E; Miall, RC","How instructions modify perception: An fMRI study investigating brain areas involved in attributing human agency",2010,"GM",14,14,14,14,1,1,1,1,"PI",""
"WOS:000279689400004","10.1002/hbm.20913","Kreifelts, B; Ethofer, T; Huberle, E; Grodd, W; Wildgruber, D","Association of Trait Emotional Intelligence and Individual fMRI-Activation Patterns During the Perception of Social Signals From Voice and Face",2010,"TN",24,24,24,24,1,1,1,1,"PI",""
"WOS:000280573300027","10.1016/j.neuropsychologia.2010.05.012","Young, L; Dodell-Feder, D; Saxe, R","What gets the attention of the temporo-parietal junction? An fMRI investigation of attention and theory of mind",2010,"GM",17,17,17,17,1,1,1,1,"PI",""
"WOS:000280932400048","10.1152/jn.00326.2010","Oosterhof, NN; Wiggett, AJ; Diedrichsen, J; Tipper, SP; Downing, PE","Surface-Based Information Mapping Reveals Crossmodal Vision-Action Representations in Human Parietal and Occipitotemporal Cortex",2010,"RvB",6,6,6,6,1,1,1,1,"PI",""
"WOS:000281715500005","10.1093/cercor/bhp316","Harel, A; Gilaie-Dotan, S; Malach, R; Bentin, S","Top-Down Engagement Modulates the Neural Expressions of Visual Expertise",2010,"GM",27,28,28,28,0,0,1,0,"PI","1/28 subjects excluded in some but not all fMRI analyses and should thus still be counted towards the overall sample size."
"WOS:000285486000087","10.1016/j.neuroimage.2010.08.077","Carter, EJ; Hodgins, JK; Rakison, DH","Exploring the neural correlates of goal-directed action and intention understanding",2011,"EH",17,17,17,17,1,1,1,1,"PI",""
"WOS:000285486000093","10.1016/j.neuroimage.2010.08.039","Ruz, M; Tudela, P","Emotional conflict in interpersonal interactions",2011,"EH",18,18,18,18,1,1,1,1,"PI",""
"WOS:000287028400008","10.1080/17470919.2010.490665","Tacikowski, P; Brechmann, A; Marchewka, A; Jednorog, K; Dobrowolny, M; Nowicka, A","Is it about the self or the significance? An fMRI study of self-name recognition",2011,"JvB",21,21,21,21,1,1,1,1,"PI",""
"WOS:000287556200029","10.1016/j.neuroimage.2010.12.040","Dodell-Feder, D; Koster-Hale, J; Bedny, M; Saxe, R","fMRI item analysis in a theory of mind task",2011,"EJ",62,62,62,62,1,1,1,1,"PI",""
"WOS:000287556200032","10.1016/j.neuroimage.2010.11.044","Koester, D; Schiller, NO","The functional neuroanatomy of morphology in language production",2011,"RvB",12,12,12,12,1,1,1,1,"PI",""
"WOS:000288275800006","10.1080/17470919.2010.506128","Nicolle, A; Bach, DR; Frith, C; Dolan, RJ","Amygdala involvement in self-blame regret",2011,"JvB",16,15,16,16,0,1,0,0,"PI","Seems coder BA has counted as excluded 1 participant that were excluded from behavioral analyses but not fMRI analyses."
"WOS:000289062000002","10.1162/jocn.2010.21520","Masten, CL; Telzer, EH; Eisenberger, NI","An fMRI Investigation of Attributing Negative Social Treatment to Racial Discrimination",2011,"TN",18,18,18,18,1,1,1,1,"PI",""
"WOS:000289729500003","10.1093/scan/nsq007","Todd, RM; Evans, JW; Morris, D; Lewis, MD; Taylor, MJ","The changing face of emotion: age-related patterns of amygdala activation to salient faces",2011,"JvB",48,57,45,45,0,0,0,0,"PI","n=57 reported first, but then 9 children are reported to be excluded due to misunderstanding the task, and then 3 more children are separately reported being excluded due to motion artifacts."
"WOS:000290649300060","10.1016/j.neuroimage.2011.03.009",NA,NA,NA,"RvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000291144900007","10.1162/jocn.2010.21574","Gobbini, MI; Gentili, C; Ricciardi, E; Bellucci, C; Salvini, P; Laschi, C; Guazzelli, M; Pietrini, P","Distinct Neural Systems Involved in Agency and Animacy Detection",2011,"TN",12,12,12,12,1,1,1,1,"PI",""
"WOS:000291543100007","10.1093/scan/nsq046","Albrecht, K; Volz, KG; Sutter, M; Laibson, DI; von Cramon, DY","What is for me is not for you: brain correlates of intertemporal choice for self and other",2011,"GM",28,28,28,28,1,1,1,1,"PI",""
"WOS:000291543600002","10.1093/scan/nsq033","Raposo, A; Vicens, L; Clithero, JA; Dobbins, IG; Huettel, SA","Contributions of frontopolar cortex to judgments about self, others and relations",2011,"EJ",21,25,25,25,0,0,1,0,"PI","n=25 for fMRI analyses. It seems original coder mistakenly coded the sample size after excluding participants with missing psychometric data."
"WOS:000292489600006","10.1016/j.ijpsycho.2011.04.003","Karremans, JC; Heslenfeld, DJ; van Dillen, LF; Van Lange, PAM","Secure attachment partners attenuate neural responses to social exclusion: An fMRI investigation",2011,"RvB",15,15,15,15,1,1,1,1,"PI",""
"WOS:000293636000001","10.1093/scan/nsq067","Schilbach, L; Eickhoff, SB; Cieslik, E; Shah, NJ; Fink, GR; Vogeley, K","Eyes on me: an fMRI study of the effects of social gaze on action control",2011,"TN",23,23,23,23,1,1,1,1,"PI",""
"WOS:000293950300027","10.1523/JNEUROSCI.0845-11.2011","Wang, Y; Ramsey, R; Hamilton, AFD","The Control of Mimicry by Eye Contact Is Mediated by Medial Prefrontal Cortex",2011,"JvB",20,17,20,20,0,1,0,0,"PI","3 subjects seems to have been excluded from a subsection of analyses, but should according to the coding scheme still count since they do contribute fMRI data to other analyses."
"WOS:000294513100003","10.1016/j.bandl.2011.05.007","Mayberry, RI; Chen, JK; Witcher, P; Klein, D","Age of acquisition effects on the functional organization of language in the adult brain",2011,"EJ",22,22,22,22,1,1,1,1,"PI",""
"WOS:000294680800009","10.1371/journal.pone.0023340","Donnelly, N; Zurcher, NR; Cornes, K; Snyder, J; Naik, P; Hadwin, J; Hadjikhani, N","Discriminating Grotesque from Typical Faces: Evidence from the Thatcher Illusion",2011,"RvB",18,18,18,18,1,1,1,1,"PI",""
"WOS:000294940500018","10.1016/j.neuropsychologia.2011.06.026","Herbert, C; Herbert, BM; Pauli, P","Emotional self-reference: Brain structures involved in the processing of words describing one's own emotions",2011,"EH",22,22,22,22,1,1,1,1,"PI",""
"WOS:000296729400001","10.3389/fnbeh.2011.00070","Libedinsky, C; Smith, DV; Teng, CS; Namburi, P; Chen, VW; Huettel, SA; Chee, MWL","Sleep deprivation alters valuation signals in the ventromedial prefrontal cortex",2011,"RvB",18,18,18,18,1,1,1,1,"PI",""
"WOS:000297455900004","10.1016/j.neuropsychologia.2011.09.006","Shibata, M; Abe, JI; Itoh, H; Shimada, K; Umeda, S","Neural processing associated with comprehension of an indirect reply during a scenario reading task",2011,"GM",15,15,15,15,1,1,1,1,"PI",""
"WOS:000299551500001","10.3389/fnhum.2011.00139","Di Dio, C; Canessa, N; Cappa, SF; Rizzolatti, G","Specificity of esthetic experience for artworks: an fMRI study",2011,"EH",32,24,24,24,0,0,1,0,"PI","Seems like the original coder mistakenly coded the sample size of study 1. "
"WOS:000301295300032","10.1523/JNEUROSCI.5715-11.2012","Spunt, RP; Lieberman, MD","Dissociating Modality-Specific and Supramodal Neural Systems for Action Understanding",2012,"TN",21,21,21,21,1,1,1,1,"PI",""
"WOS:000302000300015","10.3366/drs.2011.0024","Jang, SH; Pollick, FE","Experience Influences Brain Mechanisms of Watching Dance",2011,"EH",36,36,36,36,1,1,1,1,"PI",""
"WOS:000302004600022","10.1093/cercor/bhr177","Guionnet, S; Nadel, J; Bertasi, E; Sperduti, M; Delaveau, P; Fossati, P","Reciprocal Imitation: Toward a Neural Basis of Social Interaction",2012,"RvB",23,23,23,23,1,1,1,1,"PI",""
"WOS:000302202800018","10.1016/j.neuroimage.2012.01.080","Muscatell, KA; Morelli, SA; Falk, EB; Way, BM; Pfeifer, JH; Galinsky, AD; Lieberman, MD; Dapretto, M; Eisenberger, NI","Social status modulates neural activity in the mentalizing network",2012,"EH",22,16,22,22,0,1,0,0,"PI","Coder BA seems to have coded the sample size of study 1 instead of study 2. "
"WOS:000302808200013","10.1093/scan/nsr021","Klasen, M; Weber, R; Kircher, TTJ; Mathiak, KA; Mathiak, K","Neural contributions to flow experience during video game playing",2012,"EJ",13,13,13,13,1,1,1,1,"PI",""
"WOS:000302974100005","10.1016/j.cortex.2011.01.004","Uchiyama, HT; Saito, DN; Tanabe, HC; Harada, T; Seki, A; Ohno, K; Koeda, T; Sadato, N","Distinction between the literal and intended meanings of sentences: A functional magnetic resonance imaging study of metaphor and sarcasm",2012,"GM",20,20,20,20,1,1,1,1,"PI",""
"WOS:000303094100014","10.1016/j.ijpsycho.2011.12.002","Cheung, H; Chen, L; Szeto, CY; Feng, GY; Lu, GM; Zhang, ZQ; Zhu, ZD; Wang, SP","False belief and verb non-factivity: A common neural basis?",2012,"RvB",20,23,20,20,0,1,0,0,"PI","n=23 participated but 3 participants were excluded due to motion and response inaccuracies."
"WOS:000303272300016","10.1016/j.neuroimage.2012.01.036","Yang, JF; Wang, XJ; Shu, H; Zevin, JD","Task by stimulus interactions in brain responses during Chinese character processing",2012,"RvB",17,16,16,16,0,0,1,0,"PI","Original coder sample size seems to be a typo."
"WOS:000303971400017","10.1016/j.neuron.2012.02.038","Chib, VS; De Martino, B; Shimojo, S; O'Doherty, JP","Neural Mechanisms Underlying Paradoxical Performance for Monetary Incentives Are Driven by Loss Aversion",2012,"GM",18,18,18,18,1,1,1,1,"PI",""
"WOS:000304445800031","10.1073/pnas.1202129109","Tamir, DI; Mitchell, JP","Disclosing information about the self is intrinsically rewarding",2012,"TN",17,41,41,41,0,0,1,0,"PI","It seems like the original coder might have gotten sample size for study 4 mixed up with sample size for either study 3 or a subset of study 1a reported on in the supplementary materials."
"WOS:000304539700005","10.1093/cercor/bhr204","Bestelmeyer, PEG; Latinus, M; Bruckert, L; Rouger, J; Crabbe, F; Belin, P","Implicitly Perceived Vocal Attractiveness Modulates Prefrontal Cortex Activity",2012,"TN",20,20,20,20,1,1,1,1,"PI",""
"WOS:000305859300047","10.1016/j.neuroimage.2012.05.012","Zaki, J; Davis, JI; Ochsner, KN","Overlapping activity in anterior insula during interoception and emotional experience",2012,"EJ",16,16,16,16,1,1,1,1,"PI",""
"WOS:000305859300050","10.1016/j.neuroimage.2012.05.002","Rabin, JS; Rosenbaum, RS","Familiarity modulates the functional relationship between theory of mind and autobiographical memory",2012,"EJ",18,18,18,18,1,1,1,1,"PI",""
"WOS:000305920600019","10.1016/j.neuroimage.2012.03.070","Cribben, I; Haraldsdottir, R; Atlas, LY; Wager, TD; Lindquist, MA","Dynamic connectivity regression: Determining state-related changes in brain connectivity",2012,"TN",23,23,49,26,1,0,0,0,"PI","Very confusing reporting of sample size. The paper superficially refers to two datasets of n=23 and n=26. However, from rereading the abstract and the experimental data sections, it actually seems that the two datasets are one dataset, the only difference being that in once case 3 subjects are missing heart rate data. Therefore, the final sample size should be 26 since that is how many subjects there are included in fMRI analyses. "
"WOS:000306950200196","10.1371/journal.pone.0042347","Canessa, N; Alemanno, F; Riva, F; Zani, A; Proverbio, AM; Mannara, N; Perani, D; Cappa, SF","The Neural Bases of Social Intention Understanding: The Role of Interaction Goals",2012,"RvB",27,27,27,27,1,1,1,1,"PI",""
"WOS:000307369000079","10.1016/j.neuroimage.2012.05.066","Podell, JE; Sambataro, F; Murty, VP; Emery, MR; Tong, YX; Das, S; Goldberg, TE; Weinberger, DR; Mattay, VS","Neurophysiological correlates of age-related changes in working memory updating",2012,"GM",47,47,47,47,1,1,1,1,"PI",""
"WOS:000307678800007","10.1016/j.psyneuen.2012.01.011","Lischke, A; Gamer, M; Berger, C; Grossmann, A; Hauenstein, K; Heinrichs, M; Herpertz, SC; Domes, G","Oxytocin increases amygdala reactivity to threatening scenes in females",2012,"RvB",14,14,14,14,1,1,1,1,"PI",""
"WOS:000307873400001","10.3389/fnhum.2012.00218","Poore, JC; Pfeifer, JH; Berkman, ET; Inagaki, TK; Welborn, BL; Lieberman, MD","Prediction-errror in the context of real social relationships modulates reward system activity",2012,"RvB",17,16,17,17,0,1,0,0,"PI","not sure where coder BA got n=16 from, but all 17 participants seem to be included in the fMRI analyses."
"WOS:000308692400001","10.1186/1471-2202-13-52","Herwig, U; Kaffenberger, T; Schell, C; Jancke, L; Bruhl, AB","Neural activity associated with self-reflection",2012,"RvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000309392800025","10.1371/journal.pone.0045089","Wilbers, L; Deuker, L; Fell, J; Axmacher, N","Are Autobiographical Memories Inherently Social? Evidence from an fMRI Study",2012,"RvB",30,30,30,30,1,1,1,1,"PI",""
"WOS:000311107800006","10.1097/WNR.0b013e32835ad307","Kipman, M; Weber, M; Schwab, ZJ; DelDonno, SR; Killgore, WDS","A funny thing happened on the way to the scanner: humor detection correlates with gray matter volume",2012,"EJ",59,59,59,59,1,1,1,1,"PI",""
"WOS:000312881300026","10.1093/schbul/sbr128","Sambataro, F; Fazio, L; Taurisano, P; Gelao, B; Porcelli, A; Mancini, M; Sinibaldi, L; Ursini, G; Masellis, R; Caforio, G; Di Giorgio, A; Niccoli-Asabella, A; Popolizio, T; Blasi, G; Bertolino, A","DRD2 Genotype-Based Variation of Default Mode Network Activity and of Its Relationship With Striatal DAT Binding",2013,"TN",28,28,28,28,1,1,1,1,"PI",""
"WOS:000313641800007","10.1080/17470919.2012.735621","Lelieveld, GJ; Van Dijk, E; Guroglu, B; Van Beest, I; Van Kleef, GA; Rombouts, SARB; Crone, EA","Behavioral and neural reactions to emotions of others in the distribution of resources",2013,"JvB",26,26,26,26,1,1,1,1,"PI",""
"WOS:000315580100004","10.1162/jocn_a_00363","Neta, M; Kelley, WM; Whalen, PJ","Neural Responses to Ambiguity Involve Domain-general and Domain-specific Emotion Processing Systems",2013,"GM",31,30,30,30,0,0,1,0,"PI","n=31 for behavioral analyses, but from paper: One additional participant was removed from the fMRI data analysis because of scanner-related artifact, so the final sample for those analyses contained 30 participants (18 women)."
"WOS:000315769300005","10.1080/17470919.2013.763654","Brunnlieb, C; Munte, TF; Kramer, U; Tempelmann, C; Heldmann, M","Vasopressin modulates neural responses during human reactive aggression",2013,"GM",31,31,31,31,1,1,1,1,"PI",""
"WOS:000316420200009","10.1093/scan/nsr098","Wessa, M; Heissler, J; Schonfelder, S; Kanske, P","Goal-directed behavior under emotional distraction is preserved by enhanced task-specific activation",2013,"EJ",30,30,30,30,1,1,1,1,"PI",""
"WOS:000316702300001","10.1186/1471-2202-14-29","Sekiguchi, A; Sugiura, M; Yokoyama, S; Sassa, Y; Horie, K; Sato, S; Kawashima, R","Neural correlates of adaptive social responses to real-life frustrating situations: a functional MRI study",2013,"RvB",40,32,32,32,0,0,1,0,"PI","n=40 participated, but from paper: Data from eight
subjects (one woman, seven men) with excessive head motion (more than 2 mm) were excluded. Thus, data from 32
subjects were analyzed."
"WOS:000317166800017","10.1016/j.neuroimage.2013.01.020","Tusche, A; Kahnt, T; Wisniewski, D; Haynes, JD","Automatic processing of political preferences in the human brain",2013,"TN",18,18,18,18,1,1,1,1,"PI",""
"WOS:000319330200122","10.1371/journal.pone.0064195","Diersch, N; Mueller, K; Cross, ES; Stadler, W; Rieger, M; Schutz-Bosbach, S","Action Prediction in Younger versus Older Adults: Neural Correlates of Motor Familiarity",2013,"TN",34,34,34,34,1,1,1,1,"PI",""
"WOS:000320682800020","10.1016/j.cub.2013.04.055","Latinus, M; McAleer, P; Bestelmeyer, PEG; Belin, P","Norm-Based Coding of Voice Identity in Human Auditory Cortex",2013,"RvB",32,64,20,20,0,0,0,0,"PI","Study appears to include 32+32 participants, but this is only for recording voices used for stimuli. The supplementary materials report n=20 participants for the fMRI part of experiment 1."
"WOS:000321169200022","10.1016/j.cortex.2012.07.010","Mitchell, RLC","Further characterisation of the functional neuroanatomy associated with prosodic emotion decoding",2013,"EJ",33,33,33,33,1,1,1,1,"PI",""
"WOS:000321622600022","10.1523/JNEUROSCI.4601-12.2013","Tamber-Rosenau, BJ; Dux, PE; Tombu, MN; Asplund, CL; Marois, R","Amodal Processing in Human Prefrontal Cortex",2013,"RvB",6,6,6,6,1,1,1,1,"PI",""
"WOS:000323029500001","10.3389/fnhum.2013.00447","Porges, EC; Decety, J","Violence as a source of pleasure or displeasure is associated with specific functional connectivity with the nucleus accumbens",2013,"RvB",49,49,49,49,1,1,1,1,"PI",""
"WOS:000323454700003","10.1093/scan/nss040","Mende-Siedlecki, P; Cai, Y; Todorov, A","The neural dynamics of updating person impressions",2013,"JvB",24,24,24,24,1,1,1,1,"PI",""
"WOS:000323454700009","10.1093/scan/nss046","Beckes, L; Coan, JA; Hasselmo, K","Familiarity promotes the blurring of self and other in the neural representation of threat",2013,"EJ",22,22,22,22,1,1,1,1,"PI",""
"WOS:000324351800018","10.1016/j.cortex.2012.08.025","Grezes, J; Adenis, MS; Pouga, L; Armony, JL","Self-relevance modulates brain responses to angry body expressions",2013,"EH",34,37,37,37,0,0,1,0,"PI","Seems like original coder coded the sample size for behavioral data analysis, which contains three fewer subjects than the fMRI analysis. "
"WOS:000324568400003","10.1016/j.neuroimage.2013.05.061","Peake, SJ; Dishion, TJ; Stormshak, EA; Moore, WE; Pfeifer, JH","Risk-taking and social exclusion in adolescence: Neural mechanisms underlying peer influences on decision-making",2013,"EH",20,20,20,20,1,1,1,1,"PI",""
"WOS:000325778300011","10.1093/scan/nss075","Saxbe, DE; Yang, XF; Borofsky, LA; Immordino-Yang, MH","The embodiment of emotion: language use during the feeling of social emotions predicts cortical somatosensory activity",2013,"JvB",28,28,28,28,1,1,1,1,"PI",""
